environment_seed,algorithm,display_name,family,solution_found,path_cost,path_length,runtime_ms,nodes_expanded,evaluations,work_units,memory_units,theoretically_complete,theoretically_optimal,optimality_scope
7,bfs,Breadth-First Search,uninformed,True,79.0,52,9.433200000785291,1432,0,1432,45,True,False,Optimal in number of moves; not guaranteed minimum weighted terrain cost
7,dfs,Depth-First Search,uninformed,True,480.0,336,5.948999983957037,705,0,705,324,True,False,Returns the first solution encountered
7,ucs,Uniform-Cost Search,uninformed,True,66.0,54,10.324900009436533,1283,0,1283,44,True,True,Minimum total terrain cost because every edge cost is positive
7,ids,Iterative Deepening Search,uninformed,True,79.0,52,1155.6062000163365,193915,0,193915,65,True,False,"Optimal in depth (moves), not weighted terrain cost"
7,greedy_manhattan,Greedy Best-First (Manhattan),informed,True,95.0,60,0.5484000139404088,73,0,73,64,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
7,greedy_euclidean,Greedy Best-First (Euclidean),informed,True,75.0,52,0.3873000096064061,54,0,54,59,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
7,astar_manhattan,A* (Manhattan),informed,True,66.0,54,1.882499986095354,266,0,266,82,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
7,astar_euclidean,A* (Euclidean),informed,True,66.0,54,4.292300000088289,601,0,601,91,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
7,hill_climbing,Hill Climbing,local,True,86.0,60,1770.7903000118677,0,2406,2406,424,False,False,May stop at a local optimum; random restarts improve robustness
7,simulated_annealing,Simulated Annealing,local,True,91.0,68,2866.517799993744,0,3204,3204,424,False,False,Probabilistically escapes local optima; finite cooling has no optimality guarantee
7,genetic_algorithm,Genetic Algorithm,local,True,81.0,60,4350.954199995613,0,8884,8884,13568,False,False,Population search can discover high-quality paths but has no finite optimality guarantee
11,bfs,Breadth-First Search,uninformed,True,49.0,34,6.895300000905991,1122,0,1122,71,True,False,Optimal in number of moves; not guaranteed minimum weighted terrain cost
11,dfs,Depth-First Search,uninformed,True,419.0,318,5.7271000114269555,896,0,896,265,True,False,Returns the first solution encountered
11,ucs,Uniform-Cost Search,uninformed,True,38.0,36,6.9651999801862985,1014,0,1014,83,True,True,Minimum total terrain cost because every edge cost is positive
11,ids,Iterative Deepening Search,uninformed,True,49.0,34,256.2964000098873,45029,0,45029,43,True,False,"Optimal in depth (moves), not weighted terrain cost"
11,greedy_manhattan,Greedy Best-First (Manhattan),informed,True,55.0,36,0.295600009849295,40,0,40,44,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
11,greedy_euclidean,Greedy Best-First (Euclidean),informed,True,53.0,36,0.2590999938547611,37,0,37,39,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
11,astar_manhattan,A* (Manhattan),informed,True,38.0,36,0.8089999901130795,116,0,116,50,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
11,astar_euclidean,A* (Euclidean),informed,True,38.0,36,1.6997999919112772,245,0,245,74,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
11,hill_climbing,Hill Climbing,local,True,41.0,38,934.738699987065,0,2406,2406,296,False,False,May stop at a local optimum; random restarts improve robustness
11,simulated_annealing,Simulated Annealing,local,True,46.0,38,1583.1958999915514,0,3204,3204,296,False,False,Probabilistically escapes local optima; finite cooling has no optimality guarantee
11,genetic_algorithm,Genetic Algorithm,local,True,43.0,40,2500.248800002737,0,8884,8884,9472,False,False,Population search can discover high-quality paths but has no finite optimality guarantee
19,bfs,Breadth-First Search,uninformed,True,77.0,54,7.050499989418313,1117,0,1117,37,True,False,Optimal in number of moves; not guaranteed minimum weighted terrain cost
19,dfs,Depth-First Search,uninformed,True,122.0,88,9.303399972850457,1456,0,1456,272,True,False,Returns the first solution encountered
19,ucs,Uniform-Cost Search,uninformed,True,73.0,56,8.296300016809255,1161,0,1161,45,True,True,Minimum total terrain cost because every edge cost is positive
19,ids,Iterative Deepening Search,uninformed,True,77.0,54,958.9449999912176,159595,0,159595,57,True,False,"Optimal in depth (moves), not weighted terrain cost"
19,greedy_manhattan,Greedy Best-First (Manhattan),informed,True,78.0,54,0.5185999907553196,58,0,58,65,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
19,greedy_euclidean,Greedy Best-First (Euclidean),informed,True,78.0,54,0.49000000581145287,57,0,57,66,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
19,astar_manhattan,A* (Manhattan),informed,True,73.0,56,4.568300006212667,542,0,542,82,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
19,astar_euclidean,A* (Euclidean),informed,True,73.0,56,6.207500002346933,703,0,703,67,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
19,hill_climbing,Hill Climbing,local,True,121.0,96,2662.814500014065,0,2406,2406,424,False,False,May stop at a local optimum; random restarts improve robustness
19,simulated_annealing,Simulated Annealing,local,True,111.0,80,3905.8906999998726,0,3204,3204,424,False,False,Probabilistically escapes local optima; finite cooling has no optimality guarantee
19,genetic_algorithm,Genetic Algorithm,local,True,128.0,88,5587.377700023353,0,8884,8884,13568,False,False,Population search can discover high-quality paths but has no finite optimality guarantee
