row,col,has_package,UP,DOWN,LEFT,RIGHT
0,0,False,0.0,-3.9,0.0,0.0
0,0,True,0.0,-0.7,0.0,0.0
0,2,False,0.0,0.0,0.0,0.0
0,2,True,0.0,0.0,0.0,0.0
0,4,False,0.0,-3.7,0.0,-3.7
0,4,True,0.0,-0.5,0.0,-0.6
0,5,False,0.0,-3.65,-3.75,0.0
0,5,True,0.0,-0.55,-0.55,0.0
0,7,False,0.0,-3.04734,0.0,0.0
0,7,True,0.0,-0.65,0.0,0.0
0,9,False,0.0,-3.45,0.0,0.0
0,9,True,0.0,-0.75,0.0,0.0
0,12,False,0.0,-2.55787,0.0,-3.0168
0,12,True,0.0,-0.9,0.0,-1.0
0,13,False,0.0,-3.39074,-3.35,0.0
0,13,True,0.0,-0.95,-0.95,0.0
0,15,False,0.0,-0.6317,0.0,-2.202
0,15,True,0.0,-1.05,0.0,-1.15
0,16,False,0.0,-3.0993,-4.02399,-1.61625
0,16,True,0.0,-1.1,-1.1,-1.2
0,17,False,0.0,-5.90444,-5.71864,-2.38145
0,17,True,0.0,-1.15,-1.15,-1.25
0,18,False,0.0,-5.51453,-5.34641,-2.36359
0,18,True,0.0,-1.2,-1.2,-1.3
0,19,False,0.0,0.0,-6.16335,-3.39337
0,19,True,0.0,0.0,-1.25,-1.35
0,20,False,0.0,-2.36339,-6.28091,0.0
0,20,True,0.0,-1.3,-1.3,0.0
0,22,False,0.0,0.0,0.0,-1.17396
0,22,True,0.0,0.0,0.0,-1.5
0,23,False,0.0,-0.86706,-7.17066,0.0
0,23,True,0.0,-1.45,-1.45,0.0
0,26,False,0.0,-1.13631,0.0,-4.14782
0,26,True,0.0,-1.6,0.0,-1.7
0,27,False,0.0,-1.06097,-1.97013,0.0
0,27,True,0.0,-1.65,-1.65,0.0
0,29,False,0.0,-2.39763,0.0,-3.95416
0,29,True,0.0,-1.75,0.0,-1.85
0,30,False,0.0,-1.81324,-2.68964,-3.92756
0,30,True,0.0,-1.8,-1.8,-1.9
0,31,False,0.0,-3.15,-1.64563,0.0
0,31,True,0.0,-1.85,-1.85,0.0
1,0,False,-3.95,-3.85,0.0,0.0
1,0,True,-0.75,-0.65,0.0,0.0
1,4,False,-3.75,-3.65,0.0,-3.65
1,4,True,-0.55,-0.47889,0.0,-1.24503
1,5,False,-3.7,-3.6,-3.7,-3.6
1,5,True,-0.6,-0.5,-0.41818,-1.30272
1,6,False,0.0,0.0,-3.65,-3.2644
1,6,True,0.0,0.0,-0.28503,-0.65
1,7,False,-4.7203,-3.1493,-4.27392,-3.5
1,7,True,-0.7,-0.6,-0.6,-0.7
1,8,False,0.0,-3.45,-4.2244,-3.45
1,8,True,0.0,-0.65,-0.65,-0.75
1,9,False,-3.5,-3.4,-4.17488,-3.02518
1,9,True,-0.8,-0.7,-0.7,-0.8
1,10,False,0.0,-3.06632,-4.12536,-2.9565
1,10,True,0.0,-0.75,-0.75,-0.85
1,11,False,0.0,-2.82333,-4.49881,-3.3
1,11,True,0.0,-0.8,-0.8,-0.9
1,12,False,-4.9319,-2.90225,-4.02632,-3.68728
1,12,True,-0.95,-0.85,-0.85,-0.95
1,13,False,-3.3,-2.8341,-4.41105,-1.91294
1,13,True,-1.0,-0.9,-0.9,-1.0
1,14,False,0.0,0.0,-7.49809,-2.14079
1,14,True,0.0,0.0,-0.95,-1.05
1,15,False,-3.93789,-1.42005,-4.62331,-3.11836
1,15,True,-1.1,-1.0,-1.0,-1.1
1,16,False,-5.98564,0.0,-4.47843,-5.94798
1,16,True,-1.15,0.0,-1.05,-1.15
1,17,False,-5.27242,0.0,-6.90014,-4.99859
1,17,True,-1.2,0.0,-1.1,-1.2
1,18,False,-6.18196,0.0,-8.60035,0.0
1,18,True,-1.25,0.0,-1.15,0.0
1,20,False,-7.05628,0.0,0.0,1.46051
1,20,True,-1.35,0.0,0.0,-1.35
1,21,False,0.0,2.43809,-5.31912,0.0
1,21,True,0.0,-1.3,-1.3,0.0
1,23,False,-4.29545,-0.29519,0.0,0.0
1,23,True,-1.5,-1.4,0.0,0.0
1,25,False,0.0,0.21579,0.0,-3.93119
1,25,True,0.0,-1.5,0.0,-1.6
1,26,False,-4.40793,-0.06318,-0.97869,-4.0898
1,26,True,-1.65,-1.55,-1.55,-1.65
1,27,False,-4.52376,-0.58787,-0.79188,-4.2853
1,27,True,-1.7,-1.6,-1.6,-1.7
1,28,False,0.0,-1.55525,-1.11433,-3.05
1,28,True,0.0,-1.65,-1.65,-1.75
1,29,False,-4.01872,-2.95968,-2.21237,-4.96145
1,29,True,-1.8,-1.7,-1.7,-1.8
1,30,False,-4.47311,-4.06738,-2.46593,-5.16634
1,30,True,-1.85,-1.75,-1.75,-1.85
1,31,False,-4.5605,-2.81585,-2.42121,0.0
1,31,True,-1.9,-1.8,-1.8,0.0
2,0,False,-3.9,-3.8,0.0,-3.8
2,0,True,-0.7,-0.6,0.0,-0.6
2,1,False,0.0,-3.75,-3.85,-3.75
2,1,True,0.0,-0.51393,-0.65,-0.55
2,2,False,0.0,-3.7,-3.8,-3.7
2,2,True,0.0,-0.172,-1.30272,0.08629
2,3,False,0.0,0.0,-3.75,-3.65
2,3,True,0.0,0.0,-1.71206,-0.12323
2,4,False,-3.7,0.0,-3.7,-3.6
2,4,True,-2.14359,0.0,-2.00976,-2.09604
2,5,False,-3.65,-3.55,-3.65,0.0
2,5,True,-1.77326,0.95084,-0.04027,0.0
2,7,False,-3.55,-2.88356,0.0,-3.08483
2,7,True,-0.65,-0.55,0.0,-0.65
2,8,False,-3.5,-3.05048,-4.17488,-3.05579
2,8,True,-0.7,-0.6,-0.6,-0.7
2,9,False,-4.039,-3.08936,-4.12536,-3.06632
2,9,True,-0.75,-0.65,-0.65,-0.75
2,10,False,-3.4,0.0,-4.58948,-1.90552
2,10,True,-0.8,0.0,-0.7,-0.8
2,11,False,-3.9165,-1.50979,-4.60675,-2.90225
2,11,True,-0.85,-0.75,-0.75,-0.85
2,12,False,-4.41105,-2.53867,-4.31204,-2.98798
2,12,True,-0.9,-0.8,-0.8,-0.9
2,13,False,-4.49527,-2.20459,-4.76818,0.0
2,13,True,-0.95,-0.85,-0.85,0.0
2,15,False,-4.4392,-1.60906,0.0,0.0
2,15,True,-1.05,-0.95,0.0,0.0
2,19,False,0.0,0.0,0.0,0.0
2,19,True,0.0,0.0,0.0,0.0
2,21,False,-2.45515,3.45677,0.0,3.03762
2,21,True,-1.35,-1.25,0.0,-1.35
2,22,False,0.0,3.51052,-2.34396,-0.26292
2,22,True,0.0,-1.3,-1.3,-1.4
2,23,False,-4.64246,-0.27279,-1.44573,0.0
2,23,True,-1.45,-1.35,-1.35,0.0
2,25,False,-4.08313,-0.30677,0.0,-3.8291
2,25,True,-1.55,-1.45,0.0,-1.55
2,26,False,-4.09979,0.0,0.00833,-3.79548
2,26,True,-1.6,0.0,-1.5,-1.6
2,27,False,-3.99162,-2.6781,0.07538,-4.06791
2,27,True,-1.65,-1.55,-1.55,-1.65
2,28,False,-3.96812,0.0,-1.53341,-4.61864
2,28,True,-1.7,0.0,-1.6,-1.7
2,29,False,-4.91294,0.0,-2.95,-3.05
2,29,True,-1.75,0.0,-1.65,-1.75
2,30,False,-4.50284,0.0,-2.92904,-5.10076
2,30,True,-1.8,0.0,-1.7,-1.8
2,31,False,-4.94651,0.0,-4.39965,0.0
2,31,True,-1.85,0.0,-1.75,0.0
3,0,False,-3.85,-3.75,0.0,-3.75
3,0,True,-0.65,-0.55,0.0,-0.55
3,1,False,-3.8,0.0,-3.8,-3.7
3,1,True,-0.6,0.0,-0.6,-0.54387
3,2,False,-3.75,0.0,-3.75,0.0
3,2,True,-2.29125,0.0,-2.19171,0.0
3,5,False,-3.6,-3.5,0.0,-3.5
3,5,True,-2.11011,0.78635,0.0,-1.66598
3,6,False,0.0,0.0,-3.55,-3.45
3,6,True,0.0,0.0,0.28441,-1.2532
3,7,False,-4.04437,-3.05048,-3.5,-3.11584
3,7,True,-0.6,-0.5,-0.24368,-0.6
3,8,False,-4.12536,-3.06632,-4.04483,-3.35
3,8,True,-0.65,-0.55,-0.55,-0.65
3,9,False,-4.01579,0.0,-3.4,0.0
3,9,True,-0.7,0.0,-0.6,0.0
3,11,False,-4.71594,-2.59965,0.0,-1.93381
3,11,True,-0.8,-0.7,0.0,-0.8
3,12,False,-4.71314,-2.2937,-4.64848,-2.65873
3,12,True,-0.85,-0.75,-0.75,-0.85
3,13,False,-4.59744,0.0,-4.61345,-2.19069
3,13,True,-0.9,0.0,-0.8,-0.9
3,14,False,0.0,-2.44212,-4.44869,-1.77964
3,14,True,0.0,-0.28786,-0.85,-1.97094
3,15,False,-4.57615,-2.10452,-4.30696,-2.28532
3,15,True,-1.0,-0.32306,-0.18655,-1.86502
3,16,False,0.0,-2.04757,-4.59629,-1.68753
3,16,True,0.0,-0.28134,-0.57008,-2.57806
3,17,False,0.0,-1.88694,-5.37744,-3.47265
3,17,True,0.0,-0.97888,-0.5905,-2.88313
3,18,False,0.0,0.0,-5.20878,0.0
3,18,True,0.0,0.0,-0.13989,0.0
3,20,False,0.0,1.69319,0.0,2.83994
3,20,True,0.0,-1.15,0.0,-1.25
3,21,False,-1.60449,3.89128,-0.88268,3.72003
3,21,True,-1.3,-1.2,-1.2,-1.3
3,22,False,-0.67867,3.59469,-0.139,-0.32456
3,22,True,-1.35,-1.25,-1.25,-1.35
3,23,False,-4.17252,0.0,-0.37506,-4.14579
3,23,True,-1.4,0.0,-1.3,-1.4
3,24,False,0.0,0.0,-0.59098,-3.62134
3,24,True,0.0,0.0,-1.35,-1.45
3,25,False,-3.76611,-1.9969,-0.24666,0.0
3,25,True,-1.5,-1.4,-1.4,0.0
3,27,False,-3.558,0.0,0.0,0.0
3,27,True,-1.6,0.0,0.0,0.0
4,0,False,-3.8,-3.7,0.0,0.0
4,0,True,-0.6,-0.5,0.0,0.0
4,5,False,-3.55,-3.45,0.0,0.0
4,5,True,-2.14818,0.77079,0.0,0.0
4,7,False,-3.45,-2.57203,0.0,-3.06632
4,7,True,-0.55,-0.45,0.0,-0.55
4,8,False,-4.01048,-3.3,-4.07584,0.0
4,8,True,-0.6,-0.5,-0.5,0.0
4,10,False,0.0,-2.91776,0.0,-2.96245
4,10,True,0.0,-0.6,0.0,-0.7
4,11,False,-4.46873,-3.52343,-4.64728,-2.19235
4,11,True,-0.75,-0.65,-0.65,-0.75
4,12,False,-4.36689,-2.96265,-5.30681,0.0
4,12,True,-0.8,-0.7,-0.7,0.0
4,14,False,-4.636,-2.34472,0.0,-2.53251
4,14,True,-2.02642,-0.19409,0.0,-1.52625
4,15,False,-4.69263,-1.73289,-4.6377,-1.96771
4,15,True,-2.37489,-0.59032,-0.28786,-0.95
4,16,False,-4.94053,-1.46602,-4.68598,-2.10372
4,16,True,-2.49837,-0.9,-0.18655,-1.88885
4,17,False,-4.83782,-0.98155,-4.69301,0.0
4,17,True,-1.7484,-0.5678,-0.57008,0.0
4,20,False,-1.42196,0.0,0.0,3.22575
4,20,True,-1.2,0.0,0.0,-1.2
4,21,False,-0.06499,4.98289,-2.69278,3.42579
4,21,True,-1.25,-1.15,-1.15,-1.25
4,22,False,-0.27486,3.6557,0.75121,0.0
4,22,True,-1.3,-1.2,-1.2,0.0
4,25,False,-3.83114,0.66449,0.0,-0.86502
4,25,True,-1.45,-1.35,0.0,-1.45
